Kenya;KEN;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;12,54197533;11,42799666
Kyrgyz Republic;KGZ;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;31,60173001;33,47646966
Cambodia;KHM;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;61,59572751;61,09129653
Kiribati;KIR;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;8,178284345;14,9861484
St. Kitts and Nevis;KNA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;
Korea, Rep.;KOR;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;41,71329084;39,27586107
Kuwait;KWT;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;57,49549486;52,33109179
Latin America & Caribbean (excluding high income);LAC;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;22,80250084;23,05111527
Lao PDR;LAO;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;
Lebanon;LBN;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;20,75452116;20,69775896
Liberia;LBR;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;
Libya;LBY;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;39,61350442;41,26120307
St. Lucia;LCA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;
Latin America & Caribbean;LCN;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;24,10565625;24,34062032
Least developed countries: UN classification;LDC;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;21,07413665;20,39006942
Low income;LIC;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;19,69731583;18,29458184
Liechtenstein;LIE;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;
Sri Lanka;LKA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;21,44624861;21,82353289
Lower middle income;LMC;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;24,76081316;24,09914402
Low & middle income;LMY;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;23,60953779;22,81811728
Lesotho;LSO;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;49,83311142;46,20932818
Late-demographic dividend;LTE;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;28,81014423;28,12074343
Lithuania;LTU;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;75,20540489;77,2441153
Luxembourg;LUX;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;197,5013375;206,4116498
Latvia;LVA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;61,45894175;60,02102714
Macao SAR, China;MAC;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;82,66996164;82,70639313
St. Martin (French part);MAF;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;
Morocco;MAR;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;33,82843737;34,09305747
Monaco;MCO;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;
Moldova;MDA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;30,69636994;31,19108496
Madagascar;MDG;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;31,53602365;28,42440124
Maldives;MDV;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;
Middle East & North Africa;MEA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;43,05422874;40,88678521
Mexico;MEX;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;39,04393044;38,4970333
Marshall Islands;MHL;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;39,82891982;37,20632662
Middle income;MIC;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;23,6770203;22,89594611
North Macedonia;MKD;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;60,37513732;62,40805679
Mali;MLI;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;24,5223744;25,70529113
Malta;MLT;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;160,7029004;163,8180825
Myanmar;MMR;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;
Middle East & North Africa (excluding high income);MNA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;29,54082583;26,56024064
Montenegro;MNE;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;42,87500027;43,84663878
